run_id,run_name,algorithm,metric,metric_group,step,value,timestamp,time
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_ep_length,eval,2640000,422.34,1779883757272,2026-05-27T12:09:17.272000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_ep_length,eval,2720000,619.52,1779884016419,2026-05-27T12:13:36.419000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_ep_length,eval,2800000,719.08,1779884378816,2026-05-27T12:19:38.816000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_ep_length,eval,2880000,926.1,1779884699008,2026-05-27T12:24:59.008000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_ep_length,eval,2960000,727.94,1779885082257,2026-05-27T12:31:22.257000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,80000,-66.02085584000001,1779870594285,2026-05-27T08:29:54.285000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,160000,-89.76053676,1779870836394,2026-05-27T08:33:56.394000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,240000,-111.5765561,1779871168857,2026-05-27T08:39:28.857000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,320000,-142.11489006000002,1779871502543,2026-05-27T08:45:02.543000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,400000,-81.54477847999999,1779871860350,2026-05-27T08:51:00.350000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,480000,-121.83669838,1779872162371,2026-05-27T08:56:02.371000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,560000,-128.29335673999998,1779872532636,2026-05-27T09:02:12.636000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,640000,-169.14111133999998,1779872861744,2026-05-27T09:07:41.744000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,720000,-175.99228114000005,1779873307109,2026-05-27T09:15:07.109000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,800000,-147.81887736000002,1779873619136,2026-05-27T09:20:19.136000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,880000,-251.12273032000002,1779874154644,2026-05-27T09:29:14.644000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,960000,-152.33231168,1779874519640,2026-05-27T09:35:19.640000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1040000,-154.20958448000002,1779875020402,2026-05-27T09:43:40.402000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1120000,-232.11261874,1779875395655,2026-05-27T09:49:55.655000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1200000,-197.07680367999998,1779875916464,2026-05-27T09:58:36.464000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1280000,-280.53515586000003,1779876284235,2026-05-27T10:04:44.235000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1360000,-348.81086023999995,1779876849605,2026-05-27T10:14:09.605000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1440000,-314.78738546,1779877289976,2026-05-27T10:21:29.976000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1520000,-301.83228686,1779877922687,2026-05-27T10:32:02.687000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1600000,-338.29619488000003,1779878355320,2026-05-27T10:39:15.320000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1680000,-308.75028482,1779878981651,2026-05-27T10:49:41.651000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1760000,-330.31244136000004,1779879431943,2026-05-27T10:57:11.943000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1840000,-259.3191001,1779879986131,2026-05-27T11:06:26.131000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,1920000,-318.22575664000004,1779880421383,2026-05-27T11:13:41.383000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2000000,-127.41739414000001,1779880955985,2026-05-27T11:22:35.985000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2080000,-311.03162426,1779881343442,2026-05-27T11:29:03.442000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2160000,-249.87771961999997,1779881940045,2026-05-27T11:39:00.045000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2240000,-162.68864474,1779882265191,2026-05-27T11:44:25.191000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2320000,-110.7649633,1779882642996,2026-05-27T11:50:42.996000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2400000,-44.905847220000005,1779882883537,2026-05-27T11:54:43.537000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2480000,-101.99270324000001,1779883225351,2026-05-27T12:00:25.351000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2560000,-89.63798745999999,1779883469421,2026-05-27T12:04:29.421000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2640000,-39.3756475,1779883757262,2026-05-27T12:09:17.262000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2720000,-75.5583882,1779884016409,2026-05-27T12:13:36.409000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2800000,-102.7971035,1779884378807,2026-05-27T12:19:38.807000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2880000,-129.71148754,1779884698999,2026-05-27T12:24:58.999000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval/mean_reward,eval,2960000,-80.76646292000001,1779885082246,2026-05-27T12:31:22.246000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,160000,0.2729001154342364,1779870881577,2026-05-27T08:34:41.577000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,320000,0.0418548820166156,1779871599648,2026-05-27T08:46:39.648000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,480000,0.042794820303303095,1779872251086,2026-05-27T08:57:31.086000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,640000,0.03927588397205166,1779872948997,2026-05-27T09:09:08.997000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,800000,0.054513449584685625,1779873730654,2026-05-27T09:22:10.654000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,960000,0.0779842744817727,1779874648097,2026-05-27T09:37:28.097000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,1120000,0.03629828023681985,1779875526328,2026-05-27T09:52:06.328000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,1280000,0.05555936856554564,1779876373250,2026-05-27T10:06:13.250000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,1440000,0.01735,1779877473929,2026-05-27T10:24:33.929000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,1600000,0.029550223037184617,1779878528564,2026-05-27T10:42:08.564000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,1760000,0.024193690285573523,1779879616145,2026-05-27T11:00:16.145000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,1920000,0.02370348003321507,1779880583354,2026-05-27T11:16:23.354000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,2080000,0.014208106978687839,1779881503372,2026-05-27T11:31:43.372000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,2240000,0.22509346822080492,1779882321131,2026-05-27T11:45:21.131000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,2400000,0.1869802938831302,1779882937586,2026-05-27T11:55:37.586000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,2560000,0.30349514563106794,1779883501031,2026-05-27T12:05:01.031000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,2720000,0.2333888888888889,1779884071794,2026-05-27T12:14:31.794000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_climb_ratio,eval_diag_det,2880000,0.11961444181312061,1779884773061,2026-05-27T12:26:13.061000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,160000,0.4873361852379982,1779870881558,2026-05-27T08:34:41.558000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,320000,0.9061502985121774,1779871599629,2026-05-27T08:46:39.629000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,480000,0.8321792119659304,1779872251066,2026-05-27T08:57:31.066000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,640000,0.7392194226833227,1779872948977,2026-05-27T09:09:08.977000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,800000,0.7150008251278949,1779873730634,2026-05-27T09:22:10.634000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,960000,0.8276387896116274,1779874648077,2026-05-27T09:37:28.077000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,1120000,0.49064937505873507,1779875526309,2026-05-27T09:52:06.309000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,1280000,0.32827728208647905,1779876373229,2026-05-27T10:06:13.229000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,1440000,0.4158,1779877473909,2026-05-27T10:24:33.909000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,1600000,0.34679196713507415,1779878528545,2026-05-27T10:42:08.545000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,1760000,0.4367884855629652,1779879616126,2026-05-27T11:00:16.126000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,1920000,0.6764361742281271,1779880583335,2026-05-27T11:16:23.335000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,2080000,0.22414582213997175,1779881503352,2026-05-27T11:31:43.352000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,2240000,0.4019133494611832,1779882321112,2026-05-27T11:45:21.112000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,2400000,0.35015377605649844,1779882937566,2026-05-27T11:55:37.566000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,2560000,0.4383495145631068,1779883501012,2026-05-27T12:05:01.012000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,2720000,0.37555555555555553,1779884071774,2026-05-27T12:14:31.774000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_cruise_ratio,eval_diag_det,2880000,0.5350035315135652,1779884773037,2026-05-27T12:26:13.037000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_descend_ratio,eval_diag_det,160000,0.23976369932776534,1779870881567,2026-05-27T08:34:41.567000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_descend_ratio,eval_diag_det,320000,0.051994819471207,1779871599638,2026-05-27T08:46:39.638000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_descend_ratio,eval_diag_det,480000,0.12502596773076657,1779872251076,2026-05-27T08:57:31.076000+00:00
f662669b8a4d48069befef8917b09008,DQN_Run_20260527_082627,DQN,eval_diag_det/action_descend_ratio,eval_diag_det,640000,0.22150469334462558,1779872948987,2026-05-27T09:09:08.987000+00:00
